Año;Autoridad Portuaria;Operacion;Transito;Graneles líquidos;Graneles sólidos;Mercancía general convencional;Mercancía general en contenedor;Mercancía general;Pesca;Avituallamiento;Tráfico interior;TRÁFICO TOTAL;;;
1963;Bahía de Cádiz;Embarque;Incluido tránsito;0;16.415;120.408;0;120.408;0;240.456;2.218;379.497;;;
1963;Baleares;Desembarque;Incluido tránsito;212.274;311.087;411.246;0;411.246;2.408;0;0;937.015;;;
1963;Baleares;Embarque;Incluido tránsito;0;67.236;139.554;0;139.554;0;139.214;0;346.004;;;
1963;Barcelona;Desembarque;Incluido tránsito;1.339.628;2.430.036;1.803.367;0;1.803.367;3.251;0;0;5.576.282;;;
1963;Barcelona;Embarque;Incluido tránsito;32.238;414.264;469.592;0;469.592;0;233.338;0;1.149.432;;;
1963;Bilbao;Desembarque;Incluido tránsito;513.088;1.652.947;984.418;0;984.418;2.763;0;447.120;3.600.336;;;
1963;Bilbao;Embarque;Incluido tránsito;55.278;627.589;179.920;0;179.920;0;185.682;700.655;1.749.124;;;
1963;C.A.G.P.;Desembarque;Incluido tránsito;71.377;452.391;579.577;0;579.577;238.889;0;51.082;1.393.316;;;
1963;C.A.G.P.;Embarque;Incluido tránsito;8.829;1.928.665;744.049;0;744.049;0;163.763;45.271;2.890.577;;;
1963;Cartagena;Desembarque;Incluido tránsito;6.207.944;374.021;170.353;0;170.353;1.773;0;0;6.754.091;;;
1963;Cartagena;Embarque;Incluido tránsito;4.709.271;263.024;262.682;0;262.682;0;350.083;0;5.585.060;;;
1963;Castellón;Desembarque;Incluido tránsito;0;48.932;53.223;0;53.223;14.836;0;0;116.991;;;
1963;Castellón;Embarque;Incluido tránsito;0;8.175;11.528;0;11.528;0;8.090;0;27.793;;;
1963;Ceuta;Desembarque;Incluido tránsito;872.577;16.812;86.121;0;86.121;3.837;0;0;979.347;;;
1963;Ceuta;Embarque;Incluido tránsito;1.368;3.634;43.382;0;43.382;0;1.022.006;0;1.070.390;;;
1963;Ferrol;Desembarque;Incluido tránsito;0;35.252;69.664;0;69.664;17.824;0;49.118;171.858;;;
1963;Ferrol;Embarque;Incluido tránsito;0;141.302;82.297;0;82.297;0;13.660;0;237.259;;;
1963;Gijón;Desembarque;Incluido tránsito;188.785;697.164;202.757;0;202.757;7.841;0;0;1.096.547;;;
1963;Gijón;Embarque;Incluido tránsito;0;2.022.635;260.062;0;260.062;0;177.590;0;2.460.287;;;
