iter	Passed	Remaining
871	69056	10136
872	69136	10057
873	69225	9979
874	69317	9902
875	69397	9823
876	69482	9744
877	69568	9666
878	69649	9587
879	69733	9509
880	69816	9430
881	69897	9351
882	69981	9272
883	70061	9193
884	70138	9114
885	70219	9034
886	70295	8955
887	70375	8876
888	70455	8797
889	70542	8718
890	70622	8639
891	70707	8560
892	70787	8481
893	70871	8403
894	70950	8323
895	71029	8244
896	71111	8165
897	71201	8087
898	71283	8008
899	71362	7929
900	71442	7849
901	71519	7770
902	71598	7691
903	71680	7612
904	71758	7532
905	71840	7453
906	71921	7374
907	71998	7294
908	72078	7215
909	72165	7137
910	72242	7057
911	72318	6978
912	72402	6899
913	72478	6819
914	72567	6741
915	72643	6661
916	72720	6582
917	72806	6503
918	72898	6425
919	72978	6345
920	73061	6266
921	73146	6188
922	73240	6110
923	73322	6030
924	73402	5951
925	73483	5872
926	73567	5793
927	73648	5714
928	73725	5634
929	73807	5555
930	73894	5476
931	73991	5398
932	74070	5319
933	74152	5239
934	74232	5160
935	74310	5081
936	74388	5001
937	74469	4922
938	74551	4843
939	74637	4764
940	74716	4684
941	74799	4605
942	74880	4526
943	74962	4446
944	75042	4367
945	75119	4288
946	75201	4208
947	75287	4129
948	75373	4050
949	75453	3971
950	75531	3891
951	75609	3812
952	75694	3733
953	75775	3653
954	75852	3574
955	75933	3494
956	76017	3415
957	76100	3336
958	76182	3257
959	76266	3177
960	76346	3098
961	76426	3018
962	76507	2939
963	76587	2860
964	76668	2780
965	76752	2701
966	76831	2621
967	76908	2542
968	77008	2463
969	77096	2384
970	77185	2305
971	77268	2225
972	77353	2146
973	77432	2066
974	77515	1987
975	77595	1908
976	77677	1828
977	77756	1749
978	77848	1669
979	77927	1590
980	78016	1511
981	78099	1431
982	78205	1352
983	78324	1273
984	78417	1194
985	78535	1115
986	78671	1036
987	78759	956
988	78849	876
989	78944	797
990	79030	717
991	79112	638
992	79198	558
993	79285	478
994	79372	398
995	79452	319
996	79541	239
997	79625	159
998	79708	79
999	79787	0
