url,titulo,precio_contado,precio_financiado,año,kilometros,caballos,tipo_cambio,combustible,traccion,velocidad_maxima,largo,ancho,alto,peso,deposito
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-polestar-02-02-single-motor-standard-range-231-berlina-automatico-2023-130143,"Polestar 02
        Single Motor Standard Range",26990,24590.0,2023,34.306 km,231 CV,Automático,Eléctrico,Delantera,160km/h,"4,61m","1,86m","1,48m",1.863kg,
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-nissan-qashqai-qashqai-1-3-dig-t-mhev-12v-acenta-4x2-103kw-140-suv-y-4x4-manual-2022-129392,"Nissan Qashqai
        1.3 DIG-T mHEV 12V Acenta 4x2",18890,17190.0,2022,111.920 km,140 CV,Manual,Mild hybrid,Delantera,196km/h,"4,43m","1,85m","1,63m",1.330kg,55l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-hyundai-ioniq-ioniq-hev-1-6-gdi-klass-105-compacto-automatico-2019-130180,"Hyundai Ioniq
        HEV 1.6 GDI Klass",14990,14290.0,2019,137.870 km,141 CV,Automático,Híbrido,Delantera,185km/h,"4,47m","1,82m","1,45m",1.370kg,45l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-mg-zs-suv-zs-1-5-vti-tech-comfort-78kw-106-suv-y-4x4-manual-2023-130029,"MG ZS SUV
        1.5 VTi-Tech Comfort",14490,13190.0,2023,26.578 km,106 CV,Manual,Gasolina,Delantera,175km/h,"4,32m","1,81m","1,64m",,48l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volkswagen-t-roc-t-roc-2-0tdi-advance-r-line-85kw-115-suv-y-4x4-manual-2021-129214,"Volkswagen T-Roc
        2.0TDI Advance R-Line",19490,17690.0,2022,108.990 km,115 CV,Manual,Diésel,Delantera,187km/h,"4,23m","1,82m","1,57m",1.395kg,55l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-dacia-sandero-sandero-stepway-eco-g-essential-74kw-100-compacto-manual-2021-129192,"Dacia Sandero
        Stepway ECO-G Essential",13490,12290.0,2021,60.828 km,100 CV,Manual,Glp,Delantera,177km/h,"4,10m","1,85m","1,54m",1.107kg,50l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-ford-puma-puma-1-0-ecoboost-st-line-x-125-125-suv-y-4x4-manual-2020-127825,"Ford Puma
        1.0 EcoBoost ST-Line X 125",14490,13790.0,2020,114.524 km,125 CV,Manual,Gasolina,Delantera,191km/h,"4,21m","1,81m","1,54m",1.280kg,42l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-ford-puma-puma-1-5-ecoblue-titanium-120-120-suv-y-4x4-manual-2021-125098,"Ford Puma
        1.5 Ecoblue Titanium 120",17490,15890.0,2021,30.524 km,120 CV,Manual,Diésel,Delantera,-km/h,"4,19m","1,81m","1,54m",1.280kg,40l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-opel-corsa-corsa-1-2t-xhl-s-s-edition-100-100-compacto-manual-2022-124958,"Opel Corsa
        1.2T XHL S/S Edition 100",9890,8990.0,2022,84.000 km,100 CV,Manual,Gasolina,Delantera,188km/h,"4,06m","1,77m","1,44m",1.165kg,44l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-hyundai-tucson-tucson-1-6-gdi-be-essence-4x2-132-suv-y-4x4-manual-2021-129574,"Hyundai Tucson
        1.6 GDI BE Essence 4x2",18490,16790.0,2021,39.557 km,132 CV,Manual,Gasolina,Delantera,182km/h,"4,48m","1,85m","1,66m",1.379kg,62l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-opel-grandland-x-grandland-x-1-5cdti-s-and-s-selective-130-130-suv-y-4x4-manual-2020-130407,"Opel Grandland X
        1.5CDTi S&S Selective 130",14990,14290.0,2020,62.248 km,130 CV,Manual,Diésel,Delantera,189km/h,"4,48m","1,86m","1,61m",1.350kg,52l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-opel-mokka-mokka-1-5d-s-and-s-gs-line-110-suv-y-4x4-manual-2022-127488,"Opel Mokka
        1.5D S&S GS Line",14990,13590.0,2022,98.221 km,110 CV,Manual,Diésel,Delantera,190km/h,"4,15m","1,79m","1,53m",1.295kg,44l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-opel-corsa-corsa-1-4-design-line-90-90-compacto-manual-2019-130155,"Opel Corsa
        1.4 Design Line 90",9690,9190.0,2019,73.324 km,90 CV,Manual,Gasolina,Delantera,175km/h,"4,02m","1,75m","1,48m",1.163kg,45l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-seat-arona-arona-1-6tdi-cr-s-and-s-reference-plus-95-95-suv-y-4x4-manual-2018-129419,"SEAT Arona
        1.6TDI CR S&S Reference Plus 95",13290,12690.0,2018,110.000 km,95 CV,Manual,Diésel,Delantera,172km/h,"4,14m","1,78m","1,55m",1.297kg,40l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-ford-focus-focus-1-0-ecoboost-auto-s-and-s-trend-plus-125-125-compacto-manual-2018-129956,"Ford Focus
        1.0 Ecoboost Auto-S&S Trend+ 125",9290,8790.0,2018,153.815 km,125 CV,Manual,Gasolina,Delantera,-km/h,"4,36m","1,82m","1,48m",1.205kg,55l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-mercedes-citan-n1-citan-furgon-109cdi-be-largo-90-furgoneta-manual-2017-129911,"Mercedes Citan N1
        Furgón 109CDI BE Largo",12490,11890.0,2017,67.648 km,90 CV,Manual,Diésel,Delantera,-km/h,,"1,83m","1,82m",1.290kg,60l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-citroen-c1-c1-1-0-vti-city-edition-72-72-compacto-manual-2020-129771,"Citroen C1
        1.0 VTi City Edition 72",9290,8490.0,2020,26.734 km,72 CV,Manual,Gasolina,Delantera,160km/h,"3,47m","1,62m","1,46m",883kg,35l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-peugeot-208-208-1-2-s-and-s-active-pack-75-75-compacto-manual-2021-127714,"Peugeot 208
        1.2 S&S Active Pack 75",10990,9990.0,2021,45.051 km,75 CV,Manual,Gasolina,Delantera,170km/h,"4,06m","1,75m","1,43m",980kg,40l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-citroen-c4-cactus-c4-cactus-1-2-puretech-s-and-s-shine-110-110-compacto-manual-2019-130074,"Citroen C4 Cactus
        1.2 PureTech S&S Shine 110",10990,10490.0,2019,85.000 km,110 CV,Manual,Gasolina,Delantera,196km/h,"4,17m","1,71m","1,48m",1.140kg,50l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-renault-megane-megane-1-5dci-blue-zen-85kw-115-compacto-manual-2020-129391,"Renault Mégane
        1.5dCi Blue Zen",14490,13190.0,2020,110.409 km,115 CV,Manual,Diésel,Delantera,190km/h,"4,36m","1,81m","1,44m",1.320kg,45l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-opel-crossland-crossland-1-2-s-and-s-gs-line-110-110-suv-y-4x4-manual-2021-129871,"Opel Crossland
        1.2 S&S GS Line 110",12490,11390.0,2021,47.462 km,110 CV,Manual,Gasolina,Delantera,187km/h,"4,22m","1,83m","1,61m",1.245kg,45l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-peugeot-208-208-1-2-s-and-s-allure-pack-100-100-compacto-manual-2022-129506,"Peugeot 208
        1.2 S&S Allure Pack 100",13490,12290.0,2022,52.984 km,100 CV,Manual,Gasolina,Delantera,188km/h,"4,06m","1,75m","1,43m",1.090kg,44l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-citroen-c4-cactus-c4-cactus-1-2-puretech-s-and-s-shine-110-110-compacto-manual-2019-129388,"Citroen C4 Cactus
        1.2 PureTech S&S Shine 110",10290,9790.0,2019,95.049 km,110 CV,Manual,Gasolina,Delantera,196km/h,"4,17m","1,71m","1,48m",1.140kg,50l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-peugeot-208-208-1-2-s-and-s-active-pack-100-100-compacto-manual-2021-129827,"Peugeot 208
        1.2 S&S Active Pack 100",10990,9990.0,2021,45.170 km,100 CV,Manual,Gasolina,Delantera,188km/h,"4,06m","1,75m","1,43m",,44l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-ford-mustang-mustang-fastback-5-0-ti-vct-gt-aut-455-coupe-automatico-2019-129229,"Ford Mustang
        Fastback 5.0 Ti-VCT GT Aut.",39990,38090.0,2020,129.379 km,455 CV,Automático,Gasolina,Trasera,250km/h,"4,78m","1,92m","1,38m",1.659kg,61l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q5-q5-sportback-40-tdi-quattro-ultra-s-line-s-tronic-150kw-204-suv-y-4x4-automatico-2022-129220,"Audi Q5
        Sportback 40 TDI quattro-ultra S line S tronic",36290,34590.0,2022,115.778 km,204 CV,Automático,Mild hybrid,4x4,222km/h,"4,69m","1,89m","1,66m",1.900kg,65l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volkswagen-touran-touran-1-5-tsi-evo-advance-110kw-150-monovolumen-manual-2022-128750,"Volkswagen Touran
        1.5 TSI EVO Advance",29990,27290.0,2022,58.372 km,150 CV,Manual,Gasolina,Delantera,209km/h,"4,53m","1,83m","1,66m",1.454kg,58l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-mercedes-clase-v-v-220d-largo-163-furgoneta-automatico-2023-120346,"Mercedes Clase V
        V 220d Largo",56990,54290.0,2023,15.675 km,163 CV,Automático,Diésel,Trasera,195km/h,,"1,93m","1,88m",2.127kg,57l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volkswagen-tiguan-tiguan-2-0tdi-r-line-dsg-110kw-150-suv-y-4x4-automatico-2021-129259,"Volkswagen Tiguan
        2.0TDI R-Line DSG",28990,26390.0,2021,57.914 km,150 CV,Automático,Diésel,Delantera,200km/h,"4,51m","1,84m","1,68m",1.640kg,58l
